,"File Name","Hash Value","File Size on Disk (not sortable numercially)"
1,E:\ACTIV.STR,3EC177FFDE5C9A76059634B1CD867483A8E52FBA,"3763244 bytes (3.59 MiB)"
2,E:\CD.HED,6FDF1719292EFBCCA27B841177E1994450CBE2D4,"19300 bytes (18.85 KiB)"
3,E:\CD.WAD,0D8F845FC3695A57775C4F48D57E39331B69DE09,"47278080 bytes (45.09 MiB)"
4,E:\PLACE.STR,C16CDA2C936AF4D89DDCA7477335D1C63325B14D,"15892508 bytes (15.16 MiB)"
5,E:\PSX.EXE,151B8FD929218578E85DB28E4F2F25A24FC776A3,"876544 bytes (856 KiB)"
6,E:\SHABA.STR,2B0C9F8735A97AEE6581B33419BFF476A0E57334,"1956908 bytes (1.87 MiB)"
